,,,,,,,,,,,,,,
Campaign ID,Sum of conversions,Sum of Engagement,Sum of clicks,Sum of impressions,CTR(%),Engagement Rate(%),Conversion Rate (%),Revenue,Budget,ROI(%),Total revenue,Total Budget,Average CTR,Average ROI
1,33,213,578,5045,11.4568880079286,4.22200198216056,5.70934256055363,33000,14343.25,13007.3379464208%,8124000,2432560.05,11.7577850897056,11.7129379639007
2,31,197,599,5255,11.3986679352997,3.7488106565176,5.17529215358932,31000,45326.6,-3160.74887593598%,,,,
3,41,281,783,6711,11.6674117121144,4.18715541648041,5.23627075351213,41000,68376.69,-4003.80451291222%,,,,
4,49,430,1178,10249,11.4938042735877,4.19553127134355,4.15959252971138,49000,78607.49,-3766.49731469609%,,,,
5,34,246,583,5101,11.4291315428347,4.82258380709665,5.83190394511149,34000,43744.59,-2227.61031707006%,,,,
6,33,226,572,5121,11.1696934192541,4.41320054676821,5.76923076923077,33000,39953.19,-1740.33412601096%,,,,
7,33,216,605,5002,12.0951619352259,4.31827269092363,5.45454545454545,33000,40094.07,-1769.35641604856%,,,,
8,47,362,995,8502,11.7031286756057,4.25782168901435,4.72361809045226,47000,19669.27,13895.1420159467%,,,,
9,61,389,1223,10343,11.8244223146089,3.76099777627381,4.98773507767784,61000,79067.91,-2285.11288587241%,,,,
10,51,269,763,6661,11.4547365260471,4.0384326677676,6.68414154652687,51000,30525.65,6707.26094284643%,,,,
11,37,203,618,5095,12.1295387634936,3.98429833169774,5.98705501618123,37000,21855.42,6929.43901329739%,,,,
12,16,136,441,3410,12.9325513196481,3.98826979472141,3.6281179138322,16000,39849.94,-5984.93749300501%,,,,
13,64,436,1210,10331,11.7123221372568,4.22030781144129,5.28925619834711,64000,85407.23,-2506.48920471955%,,,,
14,22,139,378,3313,11.4095985511621,4.19559311801992,5.82010582010582,22000,71521.88,-6924.01821652339%,,,,
15,42,339,1001,8441,11.8587845042057,4.01611183509063,4.1958041958042,42000,86675.92,-5154.36351872585%,,,,
17,91,561,1646,13506,12.1871760698949,4.15370946246113,5.52855407047388,91000,48832.61,8635.08831496002%,,,,
18,21,215,595,5041,11.8032136480857,4.26502678040071,3.52941176470588,21000,33182.45,-3671.35338107946%,,,,
19,14,132,419,3393,12.3489537282641,3.89036251105217,3.34128878281623,14000,98904.66,-8584.49541204631%,,,,
20,73,531,1658,13607,12.1849048283972,3.90240317483648,4.40289505428227,73000,37290.81,9575.86869258136%,,,,
21,49,280,811,6718,12.072045251563,4.16790711521286,6.04192355117139,49000,35743.4,3708.82456621362%,,,,
22,51,371,1084,8513,12.7334664630565,4.35804064372137,4.70479704797048,51000,26001.67,9614.12478506188%,,,,
23,42,216,605,5011,12.073438435442,4.31051686290162,6.94214876033058,42000,56692.87,-2591.66099722946%,,,,
24,81,538,1573,13638,11.5339492594222,3.94485995013932,5.14939605848697,81000,52725.49,5362.58837992781%,,,,
